id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
186,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60-64,PEREMPUAN,39024,JIWA,2021
187,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65-69,LAKI-LAKI,28373,JIWA,2021
188,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65-69,PEREMPUAN,27977,JIWA,2021
189,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70-74,LAKI-LAKI,17668,JIWA,2021
190,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70-74,PEREMPUAN,18653,JIWA,2021
191,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,> 75,LAKI-LAKI,22945,JIWA,2021
192,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,> 75,PEREMPUAN,25694,JIWA,2021
193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,00-04,LAKI-LAKI,40793,JIWA,2021
194,32,JAWA BARAT,3207,KABUPATEN CIAMIS,00-04,PEREMPUAN,38004,JIWA,2021
195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,05-09,LAKI-LAKI,48154,JIWA,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,05-09,PEREMPUAN,45116,JIWA,2021
197,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10-14,LAKI-LAKI,51816,JIWA,2021
198,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10-14,PEREMPUAN,48278,JIWA,2021
199,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15-19,LAKI-LAKI,52070,JIWA,2021
200,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15-19,PEREMPUAN,49295,JIWA,2021
201,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20-24,LAKI-LAKI,52923,JIWA,2021
202,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20-24,PEREMPUAN,49438,JIWA,2021
203,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25-29,LAKI-LAKI,49730,JIWA,2021
204,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25-29,PEREMPUAN,45429,JIWA,2021
205,32,JAWA BARAT,3207,KABUPATEN CIAMIS,30-34,LAKI-LAKI,41424,JIWA,2021
206,32,JAWA BARAT,3207,KABUPATEN CIAMIS,30-34,PEREMPUAN,39489,JIWA,2021
207,32,JAWA BARAT,3207,KABUPATEN CIAMIS,35-39,LAKI-LAKI,43295,JIWA,2021
208,32,JAWA BARAT,3207,KABUPATEN CIAMIS,35-39,PEREMPUAN,43056,JIWA,2021
209,32,JAWA BARAT,3207,KABUPATEN CIAMIS,40-44,LAKI-LAKI,42416,JIWA,2021
210,32,JAWA BARAT,3207,KABUPATEN CIAMIS,40-44,PEREMPUAN,42594,JIWA,2021
211,32,JAWA BARAT,3207,KABUPATEN CIAMIS,45-49,LAKI-LAKI,42059,JIWA,2021
212,32,JAWA BARAT,3207,KABUPATEN CIAMIS,45-49,PEREMPUAN,44141,JIWA,2021
213,32,JAWA BARAT,3207,KABUPATEN CIAMIS,50-54,LAKI-LAKI,40078,JIWA,2021
214,32,JAWA BARAT,3207,KABUPATEN CIAMIS,50-54,PEREMPUAN,43231,JIWA,2021
215,32,JAWA BARAT,3207,KABUPATEN CIAMIS,55-59,LAKI-LAKI,36904,JIWA,2021
216,32,JAWA BARAT,3207,KABUPATEN CIAMIS,55-59,PEREMPUAN,40831,JIWA,2021
217,32,JAWA BARAT,3207,KABUPATEN CIAMIS,60-64,LAKI-LAKI,32932,JIWA,2021
218,32,JAWA BARAT,3207,KABUPATEN CIAMIS,60-64,PEREMPUAN,34547,JIWA,2021
